,ATB T3 (3.3MW),ATB T3 (3.3MW),ATB T3 (3.3MW),ATB T1 (6.0MW),ATB T1 (6.0MW),ATB T1 (6.0MW),SG 5.2-165,SG 5.2-165,SG 5.2-165,SG 7.0-170,SG 7.0-170,SG 7.0-170,V150-4.5,V150-4.5,V150-4.5
,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid
Component / Parameter Hierarchy,,,,,,,,,,,,,,,
        nacelle_cost,1451299.574181178,1181528.073800822,1181528.073800822,2323962.585485946,1895789.2200925264,1895789.2200925264,2081166.2115756006,1694735.689176533,1694735.689176533,2538575.4270649417,2070821.1735544521,2070821.1735544521,1773106.8105676582,1419887.7156111004,1419887.7156111004
            low_speed_shaft_cost,195450.91954752002,195450.91954752002,195450.91954752002,305648.611632,305648.611632,305648.611632,278184.0368580001,278184.0368580001,278184.0368580001,305648.611632,305648.611632,305648.611632,204330.2352,204330.2352,204330.2352
            main_bearing_cost,38759.7664659845,38759.7664659845,38759.7664659845,62955.89068878466,62955.89068878466,62955.89068878466,56709.90928260019,56709.90928260019,56709.90928260019,62955.89068878466,62955.89068878466,62955.89068878466,40624.175011623316,40624.175011623316,40624.175011623316
            gearbox_cost,424324.60076813394,154553.10038777778,154553.10038777778,688168.8158389748,259995.45044555556,259995.45044555556,614293.4282446234,227862.9058455556,227862.9058455556,761469.0408819707,293714.7873714815,293714.7873714815,557846.1363465573,204627.04139000003,204627.04139000003
            braking_system_cost,4878.4409856,4878.4409856,4878.4409856,8858.3917968,8858.3917968,8858.3917968,7679.147112,7679.147112,7679.147112,10332.4476528,10332.4476528,10332.4476528,6647.3080128,6647.3080128,6647.3080128
            generator_cost,125818.40544,125818.40544,125818.40544,189944.92608,189944.92608,189944.92608,170944.47552000004,170944.47552000004,170944.47552000004,213695.48928,213695.48928,213695.48928,154319.08128,154319.08128,154319.08128
            transformer_power_electronics_cost,168948.34319999997,168948.34319999997,168948.34319999997,275096.63999999996,275096.63999999996,275096.63999999996,243645.2928,243645.2928,243645.2928,314410.82399999996,314410.82399999996,314410.82399999996,216125.36399999997,216125.36399999997,216125.36399999997
            yaw_system_cost,72152.60493249966,72152.60493249966,72152.60493249966,111755.53529178636,111755.53529178636,111755.53529178636,101703.83132117716,101703.83132117716,101703.83132117716,111755.53529178636,111755.53529178636,111755.53529178636,75275.98852467722,75275.98852467722,75275.98852467722
            bedplate_cost,130282.91203200001,130282.91203200001,130282.91203200001,181690.71648,181690.71648,181690.71648,170007.12456,170007.12456,170007.12456,181690.71648,181690.71648,181690.71648,134956.3488,134956.3488,134956.3488
            railing_platform_cost,3841.0996478400007,3841.0996478400007,3841.0996478400007,5356.743537600001,5356.743537600001,5356.743537600001,5012.2790172,5012.2790172,5012.2790172,5356.743537600001,5356.743537600001,5356.743537600001,3978.8854560000004,3978.8854560000004,3978.8854560000004
